Peptide	ControlCount	SampleCount	ControlZ	SampleZ
PV2_008841	125.67	9.8	3.67463	-2.13479
PV2_008842	14.28	6.86	0.296485	-0.283565
PV2_008843	5.71	3.92	-1.45308	-0.464854
PV2_008844	16.19	7.84	0.05844	0.0366161
PV2_008845	130.43	25.48	2.94618	1.48728
PV2_008846	23.33	12.74	-0.127198	1.05352
PV2_008847	27.61	3.92	1.24259	-1.42427
PV2_008848	4.76	3.92	-1.5618	-0.564334
PV2_008849	23.33	10.78	0.249989	0.826754
PV2_008850	11.42	3.92	0.0855113	-0.733892
PV2_008851	8.57	7.84	-0.786749	0.11135
PV2_008852	27.61	11.76	-1.08862	0.359841
PV2_008853	31.89	9.8	-1.36737	-0.320232
PV2_008854	232.78	47.05	-2.10356	-0.0861046
PV2_008855	38.08	12.74	-0.941971	0.484908
PV2_008856	28.56	8.82	-0.116104	-0.280757
PV2_008857	89.02	13.72	-1.59092	-1.13994
PV2_008858	19.52	6.86	-0.723296	-0.730964
PV2_008859	127.58	25.48	-2.33388	-0.813287
PV2_008860	290.86	49.99	-0.318631	1.06349
PV2_008861	68.07	20.58	1.60495	1.50462
PV2_008862	437	74.49	-2.39722	-3.73947
PV2_008863	5.24	1.96	-0.983889	-0.954247
PV2_008864	20.95	10.78	-0.997376	0.442366
PV2_008865	94.26	19.6	-0.95199	-0.136521
PV2_008866	101.4	26.46	-0.623323	1.38205
PV2_008867	98.54	14.7	-0.857083	-0.784217
PV2_008868	16.66	6.86	-0.137264	-0.305479
PV2_008869	123.29	36.27	-2.40369	1.23676
PV2_008870	100.92	22.54	1.84665	1.14149
PV2_008871	232.78	29.41	2.49291	0.106664
PV2_008872	7.14	8.82	0.389568	0.584969
PV2_008873	49.98	15.68	1.52572	1.19165
PV2_008874	25.23	7.84	-0.702819	-0.472806
PV2_008875	40.46	3.92	-1.45144	-2.06247
PV2_008876	15.23	4.9	1.0848	-0.570041
PV2_008877	77.12	20.58	-1.51244	0.59985
PV2_008878	10.95	7.84	-0.764547	0.0309898
PV2_008879	10.95	0	0.111143	-1.51589
PV2_008880	23.8	12.74	-0.0477902	0.989912
PV2_008881	12.38	2.94	-1.59993	-1.37104
PV2_008882	44.75	9.8	2.06353	-0.348091
PV2_008883	46.18	19.6	-3.44047	0.615145
PV2_008884	63.31	3.92	-0.352164	-2.19146
PV2_008885	18.09	3.92	2.21374	-1.04746
PV2_008886	51.41	18.62	0.0306818	1.22025
PV2_008887	22.37	14.7	1.33148	1.31205
PV2_008888	11.9	8.82	-0.701068	0.224986
PV2_008889	32.85	7.84	-1.05994	-0.697687
PV2_008890	11.9	7.84	-0.978437	-0.11923
PV2_008891	147.57	38.23	-2.4509	1.82528
PV2_008892	31.42	19.6	-2.51758	1.87249
PV2_008893	10	7.84	0.633539	0.397783
PV2_008894	17.14	6.86	2.72553	-0.188797
PV2_008895	109.96	24.5	-0.980938	0.191742
PV2_008896	32.37	13.72	-1.0112	0.550658
PV2_008897	38.08	17.64	-1.29715	1.23406
PV2_008898	70.93	3.92	0.41181	-2.7769
PV2_008899	34.75	19.6	-3.1817	1.31799
PV2_008900	185.65	31.37	-0.79894	1.57307
PV2_008901	57.12	14.7	-1.22726	0.286246
PV2_008902	38.56	15.68	-2.06994	0.21169
PV2_008903	118.53	23.52	0.493119	0.715602
PV2_008904	119.96	12.74	4.94961	-1.02273
PV2_008905	33.32	4.9	-0.621145	-1.52436
PV2_008906	5.24	10.78	-1.19079	1.08622
PV2_008907	14.28	5.88	-1.07004	-0.696903
PV2_008908	234.69	51.95	0.740883	3.012
PV2_008909	344.65	45.09	-0.41863	-0.777846
PV2_008910	29.04	6.86	-0.0483259	-0.815831
PV2_008911	13.33	4.9	-0.214457	-0.741039
PV2_008912	3.33	1.96	-0.284408	-1.02265
PV2_008913	49.03	16.66	2.15869	0.864521
PV2_008914	26.66	8.82	-1.37675	-0.400839
PV2_008915	8.57	1.96	0.219712	-0.988886
PV2_008916	19.52	7.84	-0.413667	-0.312221
PV2_008917	34.75	10.78	0.930994	0.15147
PV2_008918	346.55	55.87	-2.08335	-1.38492
PV2_008919	50.46	16.66	-1.91995	0.596318
PV2_008920	293.24	23.52	0.477892	0.604226
PV2_008921	9.52	7.84	0.493654	0.462279
PV2_008922	23.33	14.7	1.72486	1.33483
PV2_008923	144.24	36.27	-2.39704	2.08357
PV2_008924	48.56	3.92	-0.669836	-2.0178
PV2_008925	66.65	18.62	2.97743	1.181
PV2_008926	60.46	9.8	2.35662	-0.775745
PV2_008927	52.84	18.62	-0.678872	1.2959
PV2_008928	197.08	38.23	0.547182	-0.0408965
PV2_008929	141.86	37.25	-3.57508	0.737859
PV2_008930	131.86	33.33	-1.30733	1.1854
PV2_008931	80.93	27.45	0.201196	2.14603
PV2_008932	162.33	14.7	1.14794	-2.25845
PV2_008933	16.19	8.82	1.041	0.0673129
PV2_008934	89.97	18.62	-2.06094	-0.347391
PV2_008935	102.82	23.52	-0.640855	0.486551
PV2_008936	4.76	4.9	-1.08408	-0.408923
PV2_008937	133.77	21.56	1.78262	-0.513749
PV2_008938	138.05	36.27	-1.36829	0.633301
PV2_008939	31.42	12.74	-1.28937	0.575627
PV2_008940	17.61	11.76	-0.294	0.72894
PV2_008941	55.22	19.6	-1.18759	0.755634
PV2_008942	19.04	1.96	0.0771146	-1.60124
PV2_008943	210.41	23.52	1.97228	-1.508
PV2_008944	13.33	4.9	-0.0733393	-0.676637
PV2_008945	202.79	25.48	0.087859	-0.135949
PV2_008946	63.31	9.8	0.761596	-1.05002
PV2_008947	246.11	38.23	3.85675	1.62266
PV2_008948	149.95	23.52	0.0319064	-0.851805
PV2_008949	24.75	19.6	-1.46319	2.10762
PV2_008950	20.47	6.86	-1.22464	-0.734276
PV2_008951	56.65	8.82	-0.142922	-1.03641
PV2_008952	58.08	20.58	-0.759627	1.31635
PV2_008953	17.14	8.82	2.00513	0.286346
PV2_008954	103.78	26.46	2.4198	2.21662
PV2_008955	158.52	43.13	0.707424	1.70326
PV2_008956	5.24	3.92	-0.910713	-0.7504
PV2_008957	141.86	24.5	-0.787171	-0.747662
PV2_008958	159	22.54	1.23742	-0.535097
PV2_008959	162.33	29.41	-2.33293	-1.04178
PV2_008960	62.36	19.6	-3.33041	0.51566
PV2_008961	355.12	54.89	0.115468	-0.51667
PV2_008962	10.95	8.82	-1.48938	0.0761959
PV2_008963	29.99	4.9	0.00250759	-1.47981
PV2_008964	59.03	9.8	1.83899	-1.05756
PV2_008965	152.33	28.43	-1.90378	0.771437
PV2_008966	92.83	14.7	-1.79329	-1.23891
PV2_008967	12.85	0.98	-0.0538748	-1.42947
PV2_008968	27.13	13.72	0.0176527	1.08668
PV2_008969	9.04	7.84	0.184741	0.448842
PV2_008970	2.86	0.98	-0.882097	-1.05263
PV2_008971	118.06	29.41	-1.14368	1.67706
PV2_008972	50.94	9.8	2.72624	-0.465505
PV2_008973	288	43.13	3.17923	0.00836055
PV2_008974	19.99	2.94	0.546338	-1.53364
PV2_008975	55.22	6.86	-1.62987	-1.99702
PV2_008976	41.89	7.84	0.127445	-1.04022
PV2_008977	221.36	31.37	0.271602	-1.55008
PV2_008978	99.02	17.64	-2.11704	-0.840683
PV2_008979	125.2	38.23	-0.803199	2.47412
PV2_008980	127.58	12.74	0.00440275	-0.754296
PV2_008981	88.07	42.15	-0.698202	3.73102
PV2_008982	7.14	3.92	-2.33408	-0.835091
PV2_008983	36.18	14.7	-1.25585	1.03617
PV2_008984	17.61	8.82	2.9921	0.273499
PV2_008985	181.85	32.35	4.69223	0.933031
PV2_008986	29.51	6.86	-3.41922	-1.28912
PV2_008987	52.36	14.7	0.986408	0.491317
PV2_008988	12.85	6.86	2.13148	0.0591775
PV2_008989	49.51	15.68	-1.54637	0.161506
PV2_008990	156.14	32.35	-0.216568	1.89569
PV2_008991	169.47	25.48	0.670926	0.391331
PV2_008992	69.98	12.74	-1.09597	-1.16703
PV2_008993	66.17	15.68	-2.53949	0.1526
PV2_008994	120.44	17.64	0.332531	-1.02805
PV2_008995	55.22	22.54	-0.703651	1.96142
PV2_008996	53.32	22.54	-1.10468	1.86354
PV2_008997	99.97	19.6	-1.04175	-0.406958
PV2_008998	41.89	11.76	0.764047	-0.0216124
PV2_008999	6.19	3.92	-0.43452	-0.528453
PV2_009000	5.24	4.9	0.320307	-0.302638
PV2_009001	125.2	17.64	-2.31028	-1.55798
PV2_009002	33.32	15.68	-1.96415	1.13276
PV2_009003	18.57	3.92	-1.82448	-1.47703
PV2_009004	29.99	8.82	-1.36515	-0.465209
PV2_009005	36.18	14.7	2.0895	1.19556
PV2_009006	102.82	29.41	0.551297	2.18235
PV2_009007	218.98	27.45	0.68826	-1.10908
PV2_009008	278.48	35.29	-0.626721	0.83005
PV2_009009	144.24	21.56	-0.0801883	-0.479459
PV2_009010	76.17	15.68	1.79181	-0.12168
PV2_009011	388.92	72.53	-0.230771	-1.19171
PV2_009012	187.56	20.58	0.507003	-1.15027
PV2_009013	87.59	16.66	2.09466	0.225121
PV2_009014	142.33	33.33	-0.483336	0.887239
PV2_009015	31.89	7.84	1.43732	-0.379482
PV2_009016	199.94	23.52	-1.24406	-2.08624
PV2_009017	236.11	46.07	2.41441	1.77144
PV2_009018	25.23	3.92	1.33609	-1.39777
PV2_009019	269.44	41.17	2.667	0.949513
PV2_009020	17.61	6.86	0.229203	-0.284663
PV2_009021	103.3	16.66	-1.65445	-1.10835
PV2_009022	311.8	37.25	-0.573542	-0.0973243
PV2_009023	194.7	39.21	0.0352377	2.70705
PV2_009024	161.85	10.78	2.94104	-2.03024
PV2_009025	48.08	1.96	1.99927	-2.30221
PV2_009026	52.36	9.8	-1.041	-1.10674
PV2_009027	46.65	9.8	-1.24867	-1.03415
PV2_009028	7.62	2.94	0.478718	-0.79876
PV2_009029	209.93	24.5	2.31936	-0.795114
PV2_009030	69.03	13.72	1.57899	0.0579876
PV2_009031	49.03	6.86	-0.256758	-1.28493
PV2_009032	302.76	43.13	0.107954	0.716681
PV2_009033	20.95	16.66	-0.158044	1.53116
PV2_009034	293.24	38.23	5.34217	1.27839
PV2_009035	65.69	14.7	2.65871	0.121204
PV2_009036	253.73	38.23	-0.280943	-0.873314
PV2_009037	119.96	17.64	0.989265	0.113354
PV2_009038	97.59	15.68	0.975047	-0.161063
PV2_009039	92.35	15.68	1.22743	-0.724003
PV2_009040	263.25	26.46	-0.466012	-2.92006
PV2_009041	169.47	9.8	-0.437646	-1.63328
PV2_009042	207.08	30.39	1.48841	-0.922969
PV2_009043	2.86	5.88	-2.39881	-0.114642
PV2_009044	84.73	17.64	0.333489	-0.230539
PV2_009045	161.85	30.39	-0.759728	-0.0864743
PV2_009046	90.92	8.82	1.20945	-1.77899
PV2_009047	177.09	38.23	-0.650513	0.732693
PV2_009048	8.57	6.86	-3.23436	-0.280436
PV2_009049	442.71	51.95	2.58076	-1.97584
PV2_009050	401.78	40.19	0.356506	-2.25957
PV2_009051	209.93	35.29	-0.270138	-0.33567
PV2_009052	42.84	8.82	-0.0374954	-0.528095
PV2_009053	14.28	7.84	-1.65599	-0.241398
PV2_009054	174.71	29.41	0.299266	1.33581
PV2_009055	56.65	25.48	-0.72734	2.24672
PV2_009056	113.77	22.54	-0.616618	-0.330206
PV2_009057	18.09	7.84	-0.204933	-0.21862
PV2_009058	34.75	0	0.69551	-2.76824
PV2_009059	81.88	16.66	0.736	-0.391014
PV2_009060	32.37	8.82	-1.115	-0.406234
PV2_009061	138.05	29.41	0.90439	1.63367
PV2_009062	115.68	25.48	0.64599	0.508392
PV2_009063	108.06	78.41	-1.02648	10.7894
PV2_009064	157.09	16.66	2.99087	-0.243277
PV2_009065	146.14	24.5	2.63098	0.353916
PV2_009066	102.82	10.78	2.63513	-1.55968
PV2_009067	129.96	26.46	0.294639	-0.119127
PV2_009068	36.65	9.8	-0.763093	-0.457401
PV2_009069	274.2	29.41	1.3952	-1.76374
PV2_009070	22.37	4.9	0.511618	-1.0473
PV2_009071	10.47	1.96	-0.999792	-1.43917
PV2_009072	112.34	23.52	0.751182	0.961103
PV2_009073	23.8	9.8	-3.38074	-0.814937
PV2_009074	0	0	0.229371	-0.751938
PV2_009075	43.32	13.72	-1.44341	0.297577
PV2_009076	49.98	5.88	2.32024	-1.52909
PV2_009077	67.12	19.6	-0.919816	0.952394
PV2_009078	19.04	1.96	1.2585	-1.54327
PV2_009079	26.18	6.86	-0.6481	-0.902587
PV2_009080	15.71	10.78	-1.17725	0.396383
PV2_009081	58.08	18.62	1.91321	1.16199
PV2_009082	197.08	39.21	-4.1709	0.288257
PV2_009083	71.88	23.52	-0.161602	1.75376
PV2_009084	266.58	33.33	0.257599	-1.88881
PV2_009085	93.3	20.58	-1.14121	-0.0839685
PV2_009086	50.46	8.82	1.39975	-0.683579
PV2_009087	150.43	23.52	3.46397	0.704151
PV2_009088	147.57	30.39	0.336725	0.911491
PV2_009089	67.6	21.56	1.21519	1.54283
PV2_009090	103.3	21.56	-0.178012	0.788358
PV2_009091	207.55	23.52	1.58159	-1.72885
PV2_009092	64.26	22.54	0.286911	1.7862
PV2_009093	31.42	1.96	-1.42014	-2.13584
PV2_009094	14.28	6.86	-3.32998	-0.746749
PV2_009095	173.28	23.52	2.72709	-0.269746
PV2_009096	21.9	12.74	-0.742609	0.934604
PV2_009097	29.51	8.82	0.0194521	-0.395068
PV2_009098	45.22	7.84	-1.13472	-1.21336
PV2_009099	108.54	31.37	-1.06722	1.63905
PV2_009100	41.89	9.8	0.609097	-0.666429
PV2_009101	57.6	22.54	-1.69925	1.87803
PV2_009102	84.73	9.8	-0.114621	-1.10908
PV2_009103	58.55	18.62	1.79331	0.921682
PV2_009104	63.79	14.7	2.12252	0.399186
PV2_009105	197.56	43.13	-0.704911	1.69906
PV2_009106	75.21	15.68	0.524941	0.0629472
PV2_009107	67.12	14.7	0.885231	-0.193998
PV2_009108	66.65	16.66	-0.86866	-0.037298
PV2_009109	10	2.94	-0.977599	-1.06729
PV2_009110	28.09	10.78	-2.19528	0.0192454
PV2_009111	87.11	28.43	-0.4861	1.77516
PV2_009112	33.8	9.8	-2.90349	-0.989835
PV2_009113	61.41	13.72	-0.0335794	-0.339775
PV2_009114	161.38	31.37	-0.263563	0.918365
PV2_009115	27.13	4.9	1.54037	-0.771637
PV2_009116	37.13	10.78	-0.56426	-0.618382
PV2_009117	162.33	28.43	0.0120839	0.796741
PV2_009118	32.37	4.9	2.88037	-1.10072
PV2_009119	35.23	9.8	0.839571	-0.295398
PV2_009120	85.69	30.39	-2.27717	2.47213
PV2_009121	21.9	4.9	1.38851	-0.969288
PV2_009122	42.37	7.84	-0.0849906	-0.702426
PV2_009123	5.71	6.86	-1.01956	0.0934948
PV2_009124	212.31	19.6	1.63458	0.203173
PV2_009125	36.18	6.86	2.87522	-0.5121
PV2_009126	99.97	17.64	0.317686	0.390644
PV2_009127	66.17	6.86	0.94953	-1.54972
PV2_009128	33.32	9.8	0.338129	-0.272804
PV2_009129	140.43	32.35	-0.324043	1.2496
PV2_009130	86.64	14.7	2.43835	0.344487
PV2_009131	33.8	7.84	-0.555186	-0.399068
PV2_009132	287.53	34.31	3.38447	-0.516446
PV2_009133	62.36	8.82	0.500863	-1.42437
PV2_009134	107.11	10.78	2.25948	-1.8372
PV2_009135	79.02	24.5	-1.569	0.874921
PV2_009136	6.66	1.96	2.99917	-0.905318
PV2_009137	40.46	11.76	4.32814	0.294705
PV2_009138	23.33	13.72	-1.82467	0.711563
PV2_009139	35.7	18.62	-1.48507	1.81124
PV2_009140	5.24	9.8	-0.498957	1.04305
PV2_009141	42.84	18.62	-2.31248	1.2596
PV2_009142	28.56	8.82	-2.87069	-0.396169
PV2_009143	301.33	40.19	1.29002	1.29389
PV2_009144	80.93	16.66	-0.711819	0.130536
PV2_009145	38.08	8.82	-0.219905	-0.900112
PV2_009146	27.61	4.9	0.940485	-1.09383
PV2_009147	45.22	23.52	-0.781553	1.94844
PV2_009148	59.03	19.6	-1.6003	1.09739
PV2_009149	8.09	7.84	-2.88109	-0.141437
PV2_009150	37.13	2.94	-0.3074	-2.10717
PV2_009151	265.15	26.46	0.872448	-1.75149
PV2_009152	109.49	37.25	0.907553	2.87538
PV2_009153	24.75	8.82	-1.46319	-0.514244
PV2_009154	42.84	10.78	0.659455	0.0327994
PV2_009155	33.8	10.78	-1.85677	-0.0121701
PV2_009156	31.89	8.82	-1.43162	-0.62363
PV2_009157	64.74	10.78	-0.0416347	-1.12037
PV2_009158	148.05	24.5	0.698575	0.526305
PV2_009159	198.98	27.45	-0.521168	-0.307521
PV2_009160	79.02	33.33	-1.87301	1.99307
PV2_009161	79.5	24.5	1.64651	1.61061
PV2_009162	6.19	6.86	-1.48222	0.182795
PV2_009163	21.42	16.66	-2.15592	1.45507
PV2_009164	42.84	9.8	0.605483	-0.251833
PV2_009165	13.81	15.68	-1.34942	1.59806
PV2_009166	240.4	20.58	0.790878	-0.182319
PV2_009167	109.01	23.52	0.323402	0.895579
PV2_009168	99.97	11.76	-0.673582	-1.33819
PV2_009169	61.88	21.56	0.784128	1.97426
PV2_009170	106.16	13.72	-0.34515	-1.62014
PV2_009171	69.5	12.74	0.654121	-0.182983
PV2_009172	144.72	12.74	1.69642	-0.889283
PV2_009173	50.46	8.82	-0.963747	-0.789114
PV2_009174	35.23	7.84	-0.458825	-0.640352
PV2_009175	70.93	15.68	1.97352	0.263601
PV2_009176	239.92	25.48	2.57831	-1.24312
PV2_009177	35.7	8.82	-1.60071	-0.629395
PV2_009178	13.81	6.86	1.28506	-0.0691977
PV2_009179	39.04	6.86	0.183967	-1.12287
PV2_009180	62.84	4.9	0.816318	-1.97796
PV2_009181	0	0	-0.810977	-0.997037
PV2_009182	251.35	35.29	-0.611611	-1.25205
PV2_009183	13.33	10.78	-3.14413	0.29234
PV2_009184	258.01	37.25	-2.74057	0.399429
PV2_009185	82.35	29.41	0.43881	2.59979
PV2_009186	308.47	34.31	0.917772	0.700834
PV2_009187	50.46	9.8	-0.294664	-0.703377
PV2_009188	2.86	0	2.83937	-1.36683
PV2_009189	18.09	9.8	2.19914	0.391542
PV2_009190	31.89	8.82	-0.724679	-0.27171
PV2_009191	21.42	5.88	0.338802	-0.715034
PV2_009192	1.43	2.94	-2.15762	-0.600647
PV2_009193	111.39	26.46	-0.106091	1.68685
PV2_009194	66.17	9.8	-0.863085	-1.38741
PV2_009195	53.32	12.74	0.609473	0.105041
PV2_009196	43.8	14.7	-1.2987	0.580784
PV2_009197	20.47	11.76	1.18661	0.753834
PV2_009198	16.66	13.72	1.71252	1.35757
PV2_009199	29.04	13.72	0.309489	0.853374
PV2_009200	145.67	35.29	-2.4338	1.71679
PV2_009201	31.42	15.68	0.0749416	1.44187
PV2_009202	75.69	39.21	-0.760817	3.94594
PV2_009203	121.87	31.37	1.74349	2.31328
PV2_009204	198.98	34.31	-1.3355	-0.652005
PV2_009205	93.78	19.6	0.447149	0.419445
PV2_009206	32.37	19.6	-1.07862	1.97643
PV2_009207	41.89	10.78	-1.97937	-0.677434
PV2_009208	33.32	6.86	1.28464	-0.711248
PV2_009209	112.34	19.6	0.317558	-0.553891
PV2_009210	31.42	9.8	-0.240884	-0.320503
PV2_009211	258.01	25.48	0.810174	-1.27479
PV2_009212	49.98	7.84	-1.55603	-1.7352
PV2_009213	279.91	27.45	1.04348	-2.78623
PV2_009214	66.65	16.66	-0.094419	0.235815
PV2_009215	460.33	70.57	-0.383371	-3.50786
PV2_009216	5.71	0.98	-1.01956	-1.31306
PV2_009217	180.89	31.37	-1.67107	0.855949
PV2_009218	221.83	23.52	2.06935	0.12811
PV2_009219	184.7	16.66	1.97957	-0.994304
PV2_009220	41.42	12.74	-1.3068	-0.179352
PV2_009221	123.29	27.45	-0.604931	1.35567
PV2_009222	161.38	17.64	-1.54216	-1.24454
PV2_009223	10.47	0.98	1.10565	-1.35436
PV2_009224	121.39	12.74	1.07555	-0.961133
PV2_009225	142.33	29.41	1.33414	1.61278
PV2_009226	104.25	19.6	1.06342	-0.514726
PV2_009227	140.91	17.64	0.666677	-1.08373
PV2_009228	15.23	7.84	-0.534488	-0.100258
PV2_009229	138.53	17.64	0.602318	-0.800899
PV2_009230	116.63	15.68	0.768714	-1.41762
PV2_009231	314.66	50.97	-0.507647	0.268384
PV2_009232	70.45	16.66	-0.445005	-0.197264
PV2_009233	49.98	19.6	-1.72737	1.18047
PV2_009234	42.84	10.78	-2.26741	-0.453334
PV2_009235	82.83	29.41	1.37933	2.72866
PV2_009236	39.04	8.82	1.84245	-0.591637
PV2_009237	18.09	4.9	-0.87811	-0.949439
PV2_009238	230.88	32.35	0.953954	-1.63452
PV2_009239	68.07	13.72	-3.61749	-0.548728
PV2_009240	31.89	10.78	0.434592	-0.139692
PV2_009241	21.9	5.88	1.87952	-0.656712
PV2_009242	49.03	14.7	1.69842	0.737604
PV2_009243	59.98	17.64	2.41943	1.11393
PV2_009244	49.98	10.78	-0.491183	-0.625549
PV2_009245	13.33	9.8	-1.10074	0.505371
PV2_009246	23.33	9.8	-0.3191	0.0828662
PV2_009247	45.7	32.35	0.670804	5.14943
PV2_009248	104.73	14.7	0.529104	-0.578288
PV2_009249	21.42	18.62	1.0009	2.06064
PV2_009250	27.13	2.94	0.95191	-1.43446
PV2_009251	47.6	18.62	2.27371	1.82505
PV2_009252	0	3.92	-0.281677	0.808954
PV2_009253	18.57	8.82	0.203294	0.145826
PV2_009254	49.03	10.78	0.398356	-0.312612
PV2_009255	77.12	20.58	0.658726	0.905434
PV2_009256	119.49	30.39	-1.21842	1.49065
PV2_009257	49.98	24.5	-1.4854	2.49871
PV2_009258	63.31	13.72	0.0272798	-0.144054
PV2_009259	257.54	40.19	-1.16769	-1.91943
PV2_009260	103.78	23.52	0.707816	1.27746
PV2_009261	295.62	40.19	-2.05041	-0.293283
PV2_009262	238.49	49.99	-0.523023	1.2469
PV2_009263	50.46	14.7	0.208048	0.0128919
PV2_009264	40.94	4.9	-0.706559	-1.76726
PV2_009265	104.73	17.64	-0.161649	-0.246126
PV2_009266	124.25	16.66	-0.317392	-0.0874002
PV2_009267	139	51.95	-1.92196	4.48163
PV2_009268	54.74	11.76	-1.22651	-0.827086
PV2_009269	48.56	5.88	0.297493	-1.39617
PV2_009270	17.61	9.8	-1.27415	0.024594
PV2_009271	19.04	9.8	0.278536	0.0992822
PV2_009272	94.26	9.8	0.789861	-1.6647
PV2_009273	115.2	21.56	-1.70734	0.000983582
PV2_009274	36.18	4.9	1.60659	-1.60385
PV2_009275	210.88	19.6	0.881492	-0.775322
PV2_009276	59.98	7.84	-0.560897	-1.40919
PV2_009277	150.43	20.58	0.64646	-0.448073
PV2_009278	20.47	8.82	1.18661	-0.00708397
PV2_009279	19.52	7.84	-0.312858	-0.248499
PV2_009280	162.8	32.35	-1.08992	1.155
PV2_009281	88.54	19.6	-0.334093	0.172953
PV2_009282	271.82	42.15	2.16881	0.330242
PV2_009283	44.75	6.86	0.453978	-0.879112
PV2_009284	53.32	21.56	0.275104	1.74438
PV2_009285	74.26	12.74	0.978231	-0.768424
PV2_009286	56.65	6.86	-0.82379	-1.74964
PV2_009287	69.5	17.64	-0.518499	0.61703
PV2_009288	40.94	5.88	0.720455	-1.24476
PV2_009289	171.85	43.13	-2.62861	2.15614
PV2_009290	56.65	27.45	-0.58182	2.83608
PV2_009291	12.38	3.92	-0.302047	-0.787675
PV2_009292	82.83	21.56	-2.4782	0.945219
PV2_009293	40.46	12.74	-0.578529	0.338847
PV2_009294	262.77	14.7	1.16979	-2.27542
PV2_009295	41.42	6.86	-1.3068	-1.46389
PV2_009296	38.56	10.78	0.42383	-0.256434
PV2_009297	4.76	4.9	0.824017	-0.0294628
PV2_009298	180.42	33.33	1.44997	1.19057
PV2_009299	90.45	21.56	0.649579	1.2498
PV2_009300	0.48	0	0.667413	-0.855137
PV2_009301	258.49	49.01	0.278649	0.211286
PV2_009302	128.05	24.5	1.98875	1.4708
PV2_009303	186.13	37.25	0.200954	0.724944
PV2_009304	86.64	8.82	2.10844	-1.10074
PV2_009305	41.42	14.7	1.59642	1.25082
PV2_009306	72.36	26.46	1.53218	2.5164
PV2_009307	46.65	5.88	-1.19686	-1.81891
PV2_009308	4.28	3.92	-1.46694	-0.694875
PV2_009309	98.54	21.56	-0.691114	0.861824
PV2_009310	59.98	13.72	-1.27202	-0.619323
PV2_009311	116.15	24.5	2.0651	1.31524
PV2_009312	16.66	10.78	-1.44336	0.356858
PV2_009313	161.85	32.35	2.52478	0.791617
PV2_009314	29.99	3.92	0.540527	-1.60006
PV2_009315	63.79	3.92	1.03038	-2.11408
PV2_009316	208.98	23.52	0.1077	-1.19621
PV2_009317	18.09	4.9	1.0606	-0.624357
PV2_009318	168.52	29.41	2.54912	0.991382
PV2_009319	70.45	12.74	1.99017	0.0642351
PV2_009320	79.02	12.74	0.789725	-0.969366
PV2_009321	3.33	5.88	-5.29762	-0.452397
PV2_009322	239.45	24.5	0.372499	-0.173572
PV2_009323	75.69	25.48	-1.36914	1.9679
PV2_009324	94.26	15.68	0.273932	-0.630828
PV2_009325	112.82	25.48	2.74846	1.55903
PV2_009326	88.54	21.56	1.01936	0.799874
PV2_009327	32.37	4.9	0.663343	-1.48954
PV2_009328	112.34	11.76	1.00684	-1.63919
PV2_009329	36.18	13.72	-0.546009	0.446623
PV2_009330	23.8	5.88	0.767242	-0.985851
PV2_009331	13.33	4.9	2.60359	-0.378859
PV2_009332	59.98	8.82	0.217598	-1.28371
PV2_009333	50.94	10.78	1.27172	-0.480979
PV2_009334	250.4	23.52	1.48116	-0.11147
PV2_009335	54.27	3.92	0.312256	-2.50174
PV2_009336	51.41	9.8	3.62376	-0.39392
PV2_009337	8.57	3.92	-1.6789	-0.861517
PV2_009338	5.24	6.86	0.783395	0.325665
PV2_009339	36.18	8.82	-0.604647	-0.880456
PV2_009340	19.99	2.94	-1.43743	-1.82801
PV2_009341	179.47	21.56	1.32977	-0.568623
PV2_009342	192.32	44.11	-0.364167	3.06359
PV2_009343	71.41	13.72	0.891801	-0.0514236
PV2_009344	124.25	28.43	2.73906	1.578
PV2_009345	9.52	12.74	-3.03224	1.17317
PV2_009346	177.09	15.68	0.37706	-0.627223
PV2_009347	138.53	19.6	3.35175	-0.597573
PV2_009348	44.27	11.76	-0.492285	-0.0810455
PV2_009349	3.81	18.62	-3.3125	2.90758
PV2_009350	30.94	13.72	-1.04491	0.879096
PV2_009351	110.92	27.45	-1.69444	0.173493
PV2_009352	29.04	6.86	-0.650902	-0.832644
PV2_009353	29.51	8.82	-0.0624463	-0.468033
PV2_009354	84.26	15.68	-1.86891	-0.427201
PV2_009355	61.88	20.58	-0.408644	0.988877
PV2_009356	0.95	4.9	-2.64392	-0.0874603
PV2_009357	52.84	5.88	2.34222	-1.361
PV2_009358	53.79	16.66	0.411017	0.913715
PV2_009359	43.8	18.62	-0.918575	1.0331
PV2_009360	70.93	23.52	-0.497054	1.51198
PV2_009361	29.51	7.84	-1.49276	-0.72745
PV2_009362	9.04	4.9	-2.37015	-0.772129
PV2_009363	135.67	22.54	0.216165	-0.151679
PV2_009364	69.98	14.7	0.647947	0.130567
PV2_009365	218.02	39.21	-0.0700049	-0.582304
PV2_009366	56.65	8.82	1.66771	-0.948328
PV2_009367	76.17	10.78	-0.398617	-0.988696
PV2_009368	28.56	9.8	3.85877	0.339438
PV2_009369	29.51	4.9	1.93741	-1.10072
PV2_009370	80.45	9.8	-1.11298	-1.31493
PV2_009371	97.59	16.66	0.907881	-0.0878294
PV2_009372	295.14	38.23	2.63981	-1.58268
PV2_009373	119.96	25.48	1.39753	0.935291
PV2_009374	81.4	13.72	0.0843162	-0.710768
PV2_009375	136.15	25.48	0.855096	-0.432974
