Peptide	ControlCount	SampleCount	ControlZ	SampleZ
PV2_000162	9.04	32.35	-1.25757	5.74975
PV2_000163	35.23	9.8	0.919912	-0.225104
PV2_000164	45.22	11.76	-2.07589	-0.500978
PV2_000165	70.45	29.41	0.82861	2.612
PV2_000166	84.26	19.6	3.08195	0.667507
PV2_000167	89.02	31.37	-0.440144	2.02701
PV2_000168	85.21	17.64	-2.87443	-0.978804
PV2_000169	7.62	8.82	0.981918	0.679361
PV2_000170	19.04	8.82	1.01849	0.146778
PV2_000171	14.76	20.58	0.272155	2.6456
PV2_000172	1.43	9.8	-1.08475	2.54185
PV2_000173	7.62	5.88	-0.398114	0.0349914
PV2_000174	40.46	12.74	-0.636349	0.272884
PV2_000175	38.56	8.82	1.85908	-0.45858
PV2_000176	37.61	14.7	1.80367	1.20839
PV2_000177	21.42	4.9	1.15706	-0.813124
PV2_000178	85.69	22.54	1.64126	1.16492
PV2_000179	13.33	4.9	2.43456	-0.454105
PV2_000180	16.66	5.88	1.71252	-0.385719
PV2_000181	6.19	11.76	2.09954	1.70893
PV2_000182	1.9	5.88	-0.679155	0.675183
PV2_000183	9.04	11.76	1.18505	1.20822
PV2_000184	102.35	20.58	-0.0117058	0.0178516
PV2_000185	32.85	14.7	-0.469455	1.25082
PV2_000186	96.16	23.52	-1.66472	0.06958
PV2_000187	11.9	11.76	0.937906	1.15961
PV2_000188	19.99	9.8	-2.45727	0.0256949
PV2_000189	27.13	0.98	1.54037	-1.85567
PV2_000190	14.28	2.94	0.735696	-1.17142
PV2_000191	26.66	14.7	-0.228585	1.24386
PV2_000192	14.76	12.74	-1.67084	0.756274
PV2_000193	42.84	20.58	0.649484	1.52189
PV2_000194	6.66	3.92	-1.34234	-0.669092
PV2_000195	32.37	27.45	-1.34136	3.81887
PV2_000196	15.71	11.76	-0.858095	0.813219
PV2_000197	89.49	25.48	0.240759	1.61687
PV2_000198	26.18	11.76	3.25256	0.850982
PV2_000199	43.32	7.84	1.82516	-0.735088
PV2_000200	13.33	3.92	-0.350708	-1.02085
PV2_000201	39.51	11.76	-2.3627	-0.442174
PV2_000202	21.9	5.88	-1.86703	-0.883931
PV2_000203	10	3.92	-1.57697	-0.840972
PV2_000204	40.46	22.54	-1.1793	2.31545
PV2_000205	7.14	13.72	-0.0991901	1.70099
PV2_000206	32.37	10.78	-1.31002	-0.14106
PV2_000207	2.86	5.88	-0.499725	0.412916
PV2_000208	78.07	24.5	-0.534763	1.04755
PV2_000209	42.84	9.8	-0.390612	-0.702426
PV2_000210	4.28	7.84	-1.46694	0.393409
PV2_000211	10.95	4.9	3.62582	-0.314531
PV2_000212	82.35	25.48	0.585231	2.07229
PV2_000213	16.19	7.84	1.15736	-0.194616
PV2_000214	34.27	9.8	-0.435746	-0.322631
PV2_000215	66.17	9.8	1.28964	-0.520955
PV2_000216	208.98	25.48	-0.335699	-1.6238
PV2_000217	4.76	7.84	-1.08408	0.40729
PV2_000218	47.6	8.82	0.749274	-0.751898
PV2_000219	34.75	8.82	-1.00211	-0.529689
PV2_000220	73.31	10.78	0.0804133	-0.701031
PV2_000221	27.13	7.84	-1.62885	-0.993316
PV2_000222	12.85	5.88	1.47367	-0.366571
PV2_000223	10	13.72	-2.46793	1.43193
PV2_000224	28.09	10.78	-0.423929	0.0451521
PV2_000225	25.23	3.92	0.660263	-1.25281
PV2_000226	99.02	31.37	0.957372	2.36102
PV2_000227	46.65	13.72	-0.769067	0.243577
PV2_000228	55.22	11.76	2.424	0.0561487
PV2_000229	72.83	14.7	-0.438848	-0.504102
PV2_000230	18.57	3.92	-0.791702	-1.22708
PV2_000231	34.75	13.72	-1.69983	0.635681
PV2_000232	16.66	9.8	0.0373863	0.423527
PV2_000233	16.19	13.72	-2.16202	1.5983
PV2_000234	5.71	26.46	-0.33281	5.60162
PV2_000235	10.47	10.78	-0.596281	0.754195
PV2_000236	293.24	25.48	2.25564	-2.91569
PV2_000237	17.14	0	0.378456	-2.12095
PV2_000238	181.37	51.95	-1.9221	3.1601
PV2_000239	44.75	17.64	-2.1129	0.887516
PV2_000240	17.14	1.96	-0.48698	-1.51468
PV2_000241	1.9	5.88	0.922937	1.12285
PV2_000242	112.34	22.54	-0.118075	0.736633
PV2_000243	58.08	10.78	-0.850979	-0.790861
PV2_000244	18.09	7.84	0.313773	-0.113507
PV2_000245	3.33	11.76	-0.687113	1.56737
PV2_000246	22.37	8.82	-0.381965	0.0220277
PV2_000247	221.83	47.05	-0.198495	2.77059
PV2_000248	18.09	5.88	-0.0879316	-0.830513
PV2_000249	37.61	13.72	-2.15938	-0.11163
PV2_000250	20.47	8.82	-2.55329	-0.412093
PV2_000251	31.89	22.54	-1.4975	2.6329
PV2_000252	115.68	19.6	-2.38403	-0.0272215
PV2_000253	100.92	15.68	0.90199	-0.866604
PV2_000254	159.95	23.52	0.343764	0.963249
PV2_000255	3.33	11.76	-3.31239	1.42435
PV2_000256	159.47	21.56	0.219045	0.547704
PV2_000257	100.92	25.48	-0.717996	1.12193
PV2_000258	14.76	2.94	-0.724758	-1.39549
PV2_000259	193.27	33.33	1.82695	1.75295
PV2_000260	79.97	20.58	-1.08323	0.553771
PV2_000261	12.38	18.62	0.480233	2.60338
PV2_000262	23.8	25.48	-2.09151	3.85194
PV2_000263	3.81	5.88	-0.492128	0.047523
PV2_000264	4.28	1.96	0.397427	-1.08476
PV2_000265	68.07	24.5	-2.37516	1.78938
PV2_000266	141.38	26.46	2.65028	0.352342
PV2_000267	3.81	0.98	2.65685	-1.39693
PV2_000268	18.09	10.78	-1.08333	0.258999
PV2_000269	8.09	3.92	0.849721	-0.552374
PV2_000270	61.41	29.41	1.80809	3.71336
PV2_000271	192.32	49.99	-0.289117	3.96703
PV2_000272	48.56	9.8	0.90828	-0.565788
PV2_000273	27.61	21.56	-2.42845	1.89971
PV2_000274	0	5.88	-2.29403	0.709692
PV2_000275	59.03	16.66	-1.03588	0.569099
PV2_000276	8.57	7.84	0.814048	0.25855
PV2_000277	7.62	4.9	2.21328	-0.312572
PV2_000278	41.42	12.74	0.743012	0.215887
PV2_000279	19.99	5.88	0.359162	-0.751623
PV2_000280	26.66	6.86	1.17972	-0.401076
PV2_000281	47.6	13.72	-2.26884	-0.214823
PV2_000282	120.44	11.76	1.12403	-2.34686
PV2_000283	19.52	23.52	-1.51353	3.92951
PV2_000284	25.71	7.84	0.739671	-0.235153
PV2_000285	23.8	19.6	-3.41161	1.82744
PV2_000286	158.04	38.23	-1.06158	1.11673
PV2_000287	10.95	14.7	-1.6305	1.31759
PV2_000288	1.9	7.84	-1.97076	0.556622
PV2_000289	33.8	11.76	1.02765	0.144871
PV2_000290	248.02	39.21	-0.607225	-0.613535
PV2_000291	61.41	17.64	2.24026	1.29414
PV2_000292	26.18	18.62	-1.36566	2.18999
PV2_000293	22.85	12.74	-3.58313	0.0192454
PV2_000294	5.71	13.72	-0.12332	2.14521
PV2_000295	8.57	12.74	1.43476	1.63879
PV2_000296	22.37	5.88	2.68594	-0.476579
PV2_000297	130.43	30.39	0.352882	0.485823
PV2_000298	3.81	6.86	-1.8498	0.107457
PV2_000299	138.53	13.72	1.77161	-1.31235
PV2_000300	15.23	15.68	-0.387899	2.11626
PV2_000301	130.43	27.45	-0.322582	0.645382
PV2_000302	17.61	7.84	-0.190088	-0.0978975
PV2_000303	81.4	18.62	0.699238	0.0379408
PV2_000304	34.75	11.76	1.56705	0.378357
PV2_000305	3.81	6.86	-1.22134	0.346213
PV2_000306	3.33	10.78	-2.27526	1.17951
PV2_000307	2.38	3.92	-0.975215	-0.280709
PV2_000308	19.04	16.66	-0.399266	1.81336
PV2_000309	22.37	21.56	1.11995	2.74478
PV2_000310	11.42	75.47	0.382834	15.8559
PV2_000311	57.12	11.76	-0.0141647	-0.294519
PV2_000312	73.79	285.23	0.028334	52.6512
PV2_000313	39.51	1298.74	-1.38102	281.093
PV2_000314	9.52	1806.48	0.155598	483.665
PV2_000315	25.23	148.99	-0.532581	34.3321
PV2_000316	10.47	16.66	0.936624	2.78146
PV2_000317	12.38	662.6	-1.58796	175.936
PV2_000318	37.61	324.44	-0.209277	68.1433
PV2_000319	0.95	9.8	-2.03384	2.52035
PV2_000320	9.04	245.05	0.353769	64.2732
PV2_000321	29.99	8.82	0.713805	-0.256688
PV2_000322	35.23	11.76	-1.06572	-0.0485243
PV2_000323	29.99	58.81	0.00250759	11.6344
PV2_000324	31.42	52.93	0.369638	10.1678
PV2_000325	17.61	162.71	0.437822	40.0447
PV2_000326	99.97	22.54	-1.54539	0.826493
PV2_000327	14.28	1.96	1.55162	-1.18469
PV2_000328	127.58	296.02	-2.24932	37.9051
PV2_000329	21.42	18.62	1.99959	2.76649
PV2_000330	14.28	298.96	-0.961815	67.2643
PV2_000331	287.05	55.87	-0.048114	1.50143
PV2_000332	77.59	580.27	-1.35578	112.886
PV2_000333	7.62	7.84	2.91197	0.628641
PV2_000334	81.88	1650.63	-0.535465	327.959
PV2_000335	158.04	21.56	1.44292	-0.238361
PV2_000336	16.66	91.16	-0.542492	18.9265
PV2_000337	5.24	2.94	1.019	-0.578297
PV2_000338	80.93	25.48	-2.5312	0.797925
PV2_000339	75.21	30.39	-0.645221	2.53929
PV2_000340	25.23	9.8	2.28896	0.132159
PV2_000341	28.56	12.74	1.07473	0.647161
PV2_000342	8.57	4.9	-2.48693	-0.721052
PV2_000343	39.04	76.45	0.174407	15.5018
PV2_000344	68.07	26.46	-0.029597	2.16536
PV2_000345	19.52	5.88	2.6576	-0.668141
PV2_000346	8.57	17.64	-3.23436	2.61602
PV2_000347	38.56	13.72	-0.524074	0.27677
PV2_000348	68.07	25.48	-2.55056	1.51795
PV2_000349	53.32	55.87	1.07776	9.38042
PV2_000350	80.93	25.48	0.347618	1.99099
PV2_000351	89.97	24.5	-2.62517	1.3905
PV2_000352	174.23	37.25	-0.258975	1.56698
PV2_000353	16.66	5.88	1.29404	-0.574483
PV2_000354	73.79	21.56	-2.07922	0.510541
PV2_000355	83.78	23.52	-2.23218	0.428416
PV2_000356	1.43	10.78	1.52524	3.57384
PV2_000357	33.8	15.68	0.166365	0.929724
PV2_000358	18.57	2.94	-0.327401	-1.51924
PV2_000359	23.8	14.7	-1.84162	0.82101
PV2_000360	3.81	3.92	-2.50222	-0.437981
PV2_000361	13.33	21.56	-2.66027	2.79877
PV2_000362	38.08	11.76	-2.61494	-0.409849
PV2_000363	52.84	7.84	0.0715754	-1.19845
PV2_000364	49.03	6.86	-0.371485	-1.12278
PV2_000365	30.94	13.72	-1.86566	0.425864
PV2_000366	23.8	7.84	1.70631	-0.346177
PV2_000367	97.59	11.76	-0.0549239	-0.709669
PV2_000368	69.5	594.97	-0.233178	123.678
PV2_000369	87.59	16.66	0.848532	-0.198398
PV2_000370	93.3	26.46	-1.20779	0.788071
PV2_000371	3.81	1.96	0.702459	-0.808693
PV2_000372	30.94	18.62	3.29107	1.8839
PV2_000373	105.2	32.35	0.356231	2.00006
PV2_000374	71.41	13.72	-0.0589779	-0.438279
PV2_000375	469.85	61.75	0.636272	-3.52949
PV2_000376	20.95	69.59	1.22289	14.104
PV2_000377	6.66	11.76	0.627953	1.62606
PV2_000378	16.66	20.58	-0.895206	2.58534
PV2_000379	32.37	3.92	0.050008	-1.77157
PV2_000380	67.12	7.84	1.03075	-1.4456
PV2_000381	6.19	10.78	-0.43452	1.11014
PV2_000382	100.92	20.58	1.17065	0.415873
PV2_000383	58.55	8.82	0.286805	-0.861715
PV2_000384	40.94	10.78	-1.08034	-0.242705
PV2_000385	110.44	32.35	-0.404498	2.52235
PV2_000386	10.95	9.8	3.00458	0.807067
PV2_000387	80.45	13.72	1.2092	-0.425482
PV2_000388	8.09	8.82	0.443045	0.483408
PV2_000389	0.48	2.94	-2.85026	-0.684462
PV2_000390	192.79	39.21	-0.713538	1.79959
PV2_000391	158.52	42.15	0.988644	1.97004
PV2_000392	12.85	45.09	1.62165	10.0632
PV2_000393	35.7	30.39	-0.0577251	4.95529
PV2_000394	19.04	14.7	-1.67595	1.08477
PV2_000395	36.65	6.86	-0.676919	-1.48541
PV2_000396	119.01	21.56	-1.3025	0.0170534
PV2_000397	9.04	0	0.522797	-1.50217
PV2_000398	3.81	380.31	-1.90426	89.5845
PV2_000399	54.27	8.82	0.505703	-0.770396
PV2_000400	16.66	13.72	1.29404	1.16658
PV2_000401	10.47	1.96	0.136809	-1.465
PV2_000402	35.23	20.58	-2.49623	1.52026
PV2_000403	19.52	9.8	-1.35889	0.0747164
PV2_000404	4.28	7.84	-2.13971	0.29204
PV2_000405	1.9	14.7	-1.19053	3.52215
PV2_000406	20.47	11.76	-1.16943	0.702312
PV2_000407	95.21	15.68	1.11986	-0.176359
PV2_000408	10.95	7.84	2.68333	0.318353
PV2_000409	29.04	12.74	-0.573331	0.716332
PV2_000410	82.83	18.62	1.61334	0.732671
PV2_000411	25.71	14.7	0.260669	1.10843
PV2_000412	25.23	21.56	1.33609	2.61443
PV2_000413	456.04	61.75	0.865749	-2.98764
PV2_000414	10	4.9	-0.421988	-0.409595
PV2_000415	22.85	14.7	-1.6524	1.21502
PV2_000416	92.35	17.64	-1.39702	-0.770433
PV2_000417	19.04	26.46	0.28865	4.10918
PV2_000418	113.77	23.52	-0.877927	0.272043
PV2_000419	129.96	15.68	-0.978912	-0.585028
PV2_000420	8.57	9.8	-0.786749	0.628878
PV2_000421	4.28	1.96	0.397427	-1.08476
PV2_000422	30.94	24.5	-3.673	2.60647
PV2_000423	18.57	4.9	-2.82157	-1.13201
PV2_000424	6.19	2.94	2.09954	-0.481444
PV2_000425	44.75	7.84	1.68407	-0.683353
PV2_000426	3.81	7.84	2.65685	1.55715
PV2_000427	60.93	11.76	-0.713315	-0.463644
PV2_000428	121.87	19.6	0.555437	-0.571106
PV2_000429	59.5	28.43	-0.245092	2.86107
PV2_000430	154.71	17.64	1.05354	-0.887471
PV2_000431	6.66	0	2.48779	-1.77839
PV2_000432	4.28	2.94	1.16898	-0.453253
PV2_000433	0	0	-2.90993	-1.49153
PV2_000434	56.17	26.46	-1.4632	2.0079
PV2_000435	0.48	4.9	-2.47188	0.516556
PV2_000436	0.95	0	-2.12357	-1.58169
PV2_000437	88.54	21.56	-2.17782	0.321748
PV2_000438	10	2.94	2.66506	-0.966946
PV2_000439	156.62	28.43	-0.866372	0.216136
PV2_000440	158.52	19.6	-2.95641	0.278235
PV2_000441	52.84	10.78	0.868417	-0.605347
PV2_000442	13.81	7.84	1.71859	0.0242154
PV2_000443	375.59	38.23	0.905633	-1.23163
PV2_000444	79.97	36.27	0.0650503	3.79658
PV2_000445	9.04	3.92	0.98528	-0.734174
PV2_000446	53.79	7.84	-0.603228	-1.25875
PV2_000447	19.04	13.72	-1.42745	1.05875
PV2_000448	79.02	18.62	4.60759	0.963438
PV2_000449	17.61	10.78	-3.82024	0.14896
PV2_000450	258.01	50.97	-0.845797	-0.696629
PV2_000451	21.42	0.98	1.04944	-1.7698
PV2_000452	62.84	12.74	-1.25469	-0.649434
PV2_000453	19.99	10.78	2.88841	0.559057
PV2_000454	101.87	14.7	1.90944	-0.525378
PV2_000455	9.04	4.9	1.69707	-0.528301
PV2_000456	34.75	11.76	0.534827	0.0384978
PV2_000457	51.41	22.54	0.142138	2.25927
PV2_000458	32.37	6.86	0.985288	-0.733138
PV2_000459	182.8	33.33	0.768598	1.50628
PV2_000460	254.68	48.03	-1.46942	-1.28441
PV2_000461	6.66	22.54	-1.34234	4.33474
PV2_000462	22.85	14.7	-0.491151	1.42408
PV2_000463	39.99	12.74	0.871676	0.352067
PV2_000464	153.28	32.35	-2.10895	0.845051
PV2_000465	8.57	5.88	1.22072	-0.0739525
PV2_000466	16.19	4.9	1.18212	-0.741039
PV2_000467	320.37	42.15	1.01372	0.627692
PV2_000468	104.73	8.82	0.696135	-1.30909
PV2_000469	42.84	9.8	0.27394	-0.64038
PV2_000470	79.02	16.66	0.297921	-0.391014
PV2_000471	4.76	13.72	1.89567	3.38412
PV2_000472	43.32	25.48	-3.16227	2.02597
PV2_000473	9.52	1.96	2.49169	-1.17239
PV2_000474	13.33	4.9	0.721167	-0.662592
PV2_000475	0	0	0.229371	-0.751938
PV2_000476	21.42	12.74	-0.348878	1.39642
PV2_000477	44.75	6.86	-1.45931	-1.7167
PV2_000478	79.5	33.33	-0.222655	2.90608
PV2_000479	21.9	12.74	1.24241	0.920275
PV2_000480	21.9	4.9	2.09187	-0.762826
PV2_000481	31.42	1.96	0.530611	-2.08785
PV2_000482	58.08	2.94	-0.65458	-2.65554
PV2_000483	19.99	3.92	1.20151	-1.13811
PV2_000484	189.46	18.62	3.07403	0.353686
PV2_000485	6.66	8.82	-1.56744	0.470451
PV2_000486	18.57	0.98	1.28377	-1.66418
PV2_000487	42.37	10.78	0.0327151	0.124468
PV2_000488	19.52	6.86	-2.44472	-0.718395
PV2_000489	76.64	16.66	0.509302	0.342109
PV2_000490	290.86	67.63	-2.70069	0.345183
PV2_000491	157.57	45.09	-2.5116	1.32806
PV2_000492	75.69	2.94	1.30851	-2.76155
PV2_000493	44.27	5.88	0.346597	-1.11941
PV2_000494	111.87	28.43	-5.21617	-0.273253
PV2_000495	139.95	12.74	-1.49087	-0.642466
PV2_000496	75.21	16.66	-0.572011	0.0511702
PV2_000497	140.91	16.66	0.606471	-1.33442
PV2_000498	36.18	13.72	0.0674792	0.721242
PV2_000499	86.64	18.62	1.49575	0.0301416
PV2_000500	144.24	19.6	-2.0982	-1.24479
PV2_000501	39.51	18.62	1.75103	1.66781
PV2_000502	138.05	12.74	1.02273	-0.860357
PV2_000503	55.7	13.72	-0.61397	0.135041
PV2_000504	99.97	3.92	4.18242	-2.01519
PV2_000505	60.93	12.74	-0.392617	-0.3922
PV2_000506	183.75	38.23	-2.46126	0.164301
PV2_000507	143.29	33.33	-0.66131	0.492066
PV2_000508	113.77	24.5	0.668197	0.730776
PV2_000509	204.7	28.43	-1.21128	-2.0152
PV2_000510	227.55	42.15	1.10664	0.362681
PV2_000511	125.67	30.39	-3.55868	0.669327
PV2_000512	20.47	14.7	-0.449671	1.01001
PV2_000513	10	25.48	-1.8592	3.81815
PV2_000514	14.76	4.9	-1.77846	-1.09557
PV2_000515	58.55	9.8	1.29714	-0.526102
PV2_000516	80.93	12.74	-1.01777	-1.1151
PV2_000517	110.92	16.66	-0.374537	-0.523308
PV2_000518	42.84	13.72	-0.735879	0.379903
PV2_000519	67.6	8.82	0.416726	-1.51903
PV2_000520	213.74	26.46	-1.05543	0.822685
PV2_000521	80.93	7.84	-0.674411	-1.58046
PV2_000522	20.47	6.86	0.552141	-0.517011
PV2_000523	73.79	9.8	0.897975	-1.42403
PV2_000524	389.4	40.19	-2.43306	-3.35304
PV2_000525	107.11	24.5	-1.25418	0.30072
PV2_000526	26.66	20.58	-0.0522665	2.83036
PV2_000527	12.85	14.7	0.163118	1.77882
PV2_000528	50.46	9.8	-1.9778	-1.26858
PV2_000529	89.97	28.43	-1.23466	1.6207
PV2_000530	80.45	26.46	1.00991	1.9868
PV2_000531	218.98	28.43	-0.750193	0.841053
PV2_000532	19.99	8.82	-1.15619	0.0358546
PV2_000533	148.52	17.64	-1.82707	-1.71246
PV2_000534	33.8	16.66	-2.21195	0.967852
PV2_000535	32.85	9.8	0.354752	-0.139747
