"","target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"541","NODE_1125_length_1110_cov_10.8227_g1014_i0",0.910044068566307,1,0.188524507295696,29.8426742899341,2,1.24669493404891,2.71297038999401,1.9782582041057,0.734712185888311,1.5123793264197,1.5123793264197
"542","NODE_1125_length_1260_cov_269.127_g1014_i0",1,1,-0.0129962207894891,65.5616340034925,2,1.53573986561935,5.96014854577205,2.92132185314177,3.03882669263027,1.66351241528574,3.03882669263027
"543","NODE_1125_length_875_cov_9.14512_g1019_i0",1,1,-0.331686756715136,37.7551773257684,2,1.35234743859531,3.43228884779713,1.5428936983332,1.88939514946393,1.57239620405386,1.88939514946393
"544","NODE_1125_length_887_cov_113.13_g1041_i0",0.857990976290806,1,0.306323393386126,0.220888547218711,2,5.45454859240745,0.0200807770198828,0.00977805195629459,0.0103027250635882,0.052326523489655,0.052326523489655
"545","NODE_1126_length_1021_cov_65.1573_g1029_i0",0.567612420147398,1,1.1326329041384,36.030763956388,2,1.01191255435932,3.27552399603527,1.06698445838547,2.2085395376498,1.36325856687423,2.2085395376498
"546","NODE_1126_length_1155_cov_21.1927_g1031_i0",0.579879383323713,1,1.08987031371002,33.5146134325752,2,2.1310164471302,3.04678303932502,1.32842667729115,1.71835636203387,1.8017612325272,1.8017612325272
"547","NODE_1126_length_1260_cov_34.0423_g1015_i0",0.387269816560773,1,1.89726725693644,40.0980514080187,2,1.21897781287272,3.64527740072897,1.92030388204225,1.72497351868672,1.49587275463342,1.72497351868672
"548","NODE_1126_length_1265_cov_299.107_g971_i0",0.543394776359631,1,1.21983838983726,48.9583738745156,2,3.60175940793912,4.4507612613196,2.94308502643754,1.50767623488206,0.844370650012668,1.50767623488206
"549","NODE_1126_length_875_cov_7.80854_g1020_i0",0.309315744672148,1,2.34678539275341,14.2775930916574,2,2.53008538940117,1.29796300833249,1.61836296755598,-0.320399959223494,1.75973487989167,1.75973487989167
"550","NODE_1126_length_887_cov_10.6731_g1042_i0",0.704225002604563,1,0.701314735829627,29.0071934790418,2,1.4420725003229,2.6370175890038,1.30310743256717,1.33391015643663,1.61934318047887,1.61934318047887
"551","NODE_1126_length_941_cov_548.225_g1048_i0",0.975466941547455,1,0.0496780164390955,0.849490117870535,2,5.46217452944892,0.0772263743518669,0.83999933790723,-0.762772963555363,0.0517595061215925,0.0517595061215925
"552","NODE_1127_length_1109_cov_609.201_g433_i1",0.338180756990291,1,2.16834948490034,0.677502347085306,2,5.61264069685909,0.0615911224623003,0.0435522098367156,0.0180389126255849,0.0422866227704352,0.0422866227704352
"553","NODE_1127_length_1188_cov_326.433_g983_i0",0.136227743745351,1,3.98685441487921,0.326650296917538,2,6.59644218216277,0.0296954815379579,0.00282529485581556,0.0268701866821424,0.0148684585403881,0.0268701866821424
"554","NODE_1127_length_874_cov_556.65_g1021_i0",0.348082414136751,1,2.11063201002715,13.1025284163038,2,2.65020169966439,1.19113894693671,0.680328806018153,0.510810140918553,1.70780934874191,1.70780934874191
"555","NODE_1127_length_941_cov_61.8409_g1049_i0",0.702779315300913,1,0.705424709890146,14.0779184572893,2,2.52809824611752,1.27981076884449,2.24443054200309,-0.964619773158606,1.7603587425945,1.7603587425945
"556","NODE_1128_length_1017_cov_12.3753_g1031_i0",0.662409909902327,1,0.823741430843313,28.7030117623547,2,2.5885773809104,2.60936470566861,2.22502496513002,0.384339740538591,1.73810088950806,1.73810088950806
"557","NODE_1128_length_1109_cov_67.3805_g1016_i0",0.982496196825679,1,0.0353176123231052,30.3395864150246,2,4.16760746297013,2.75814421954769,2.68772322025305,0.0704209992946407,0.379545427699563,0.379545427699563
"558","NODE_1128_length_1152_cov_52.0146_g1033_i0",0.0474469678842848,1,6.09628531449507,39.2776545500779,2,1.43611863354265,3.5706958681889,2.14664402000943,1.42405184817947,1.61635946154696,1.61635946154696
"559","NODE_1128_length_1187_cov_11.6449_g984_i0",0.186832453600003,1,3.35508606760418,29.3178740368944,2,1.43598033119717,2.66526127608131,0.926055117537786,1.73920615854353,1.61628991780343,1.73920615854353
"560","NODE_1128_length_1255_cov_9.165_g1017_i0",0.694280935933039,1,0.729757187135135,35.2929216959746,2,1.18021429857501,3.20844742690678,1.55991616599534,1.64853126091145,1.47227420759288,1.64853126091145
"561","NODE_1129_length_1151_cov_5391.27_g1034_i0",0.864234290866804,1,0.29182275390658,3.35243464858121,2,2.7690499628687,0.304766786234656,1.29278521184048,-0.98801842560582,1.63264891610863,1.63264891610863
"562","NODE_1129_length_885_cov_5.13614_g1045_i0",0.908426493543975,1,0.19208260822441,18.4484198242413,2,0.959195076172391,1.67712907493102,1.23761399997692,0.439515074954106,1.32708367646786,1.32708367646786
"563","NODE_113_length_4250_cov_48.2405_g98_i0",1,1,-0.143674132653558,85.0620443592303,2,1.92895841954178,7.73291312356639,2.27831163988804,5.45460148367835,1.78512439661287,5.45460148367835
"564","NODE_113_length_4483_cov_134.841_g97_i0",0.212725810095364,1,3.09550243814496,41.4945162808709,2,5.380378164611,3.77222875280645,2.76430914573538,1.00791960707107,0.0583492920103961,1.00791960707107
"565","NODE_113_length_4975_cov_38.3439_g94_i0",0.0379160885277088,1,6.5447595151126,85.5805883515236,2,1.97044527591591,7.78005348650215,3.73897105383141,4.04108243267074,1.79191906401772,4.04108243267074
"566","NODE_113_length_5178_cov_74.204_g107_i0",0.00754902427240975,1,9.77267391903048,72.7806592984674,2,1.8524937236943,6.61642357258795,3.6438564106671,2.97256716192085,1.76898334031794,2.97256716192085
