Probe	BB001_A	BB001_B	BB003_A	BB003_B	BB004_A	BB004_B	BB005_A	BB005_B	BB006_A	BB006_B	BB007_A	BB007_B	BB008_A	BB008_B	BB009_A	BB009_B	BB010_A	BB010_B	BB012_A	BB012_B	BB013_A	BB013_B	BB015_A	BB015_B	BB017_A	BB017_B	BB018_A	BB018_B	BB019_A	BB019_B	BB020_A	BB020_B	BB401_A	BB401_B	BB402_A	BB402_B	BB403_A	BB403_B	BB404_A	BB404_B	BB405_A	BB405_B	BB406_A	BB406_B	BB407_A	BB407_B	BB408_A	BB408_B	BB409_A	BB409_B	BB410_A	BB410_B	BB411_A	BB411_B	BB412_A	BB412_B	BB413_A	BB413_B	BB414_A	BB414_B	BB415_A	BB415_B	BufferOnly_A	BufferOnly_B	BufferOnly_C	BufferOnly_D	BufferOnly_E	BufferOnly_F	BufferOnly_G	BufferOnly_H	BufferOnly_I	BufferOnly_J
NS30_000034	116	54	210	129	85	32	8	6	2	3	9	33	384	426	35	63	47	42	24	12	60	336	18	43	355	529	5	8	0	14	201	404	138	635	400	262	53	14	17	8	15	13	38	54	202	221	167	181	97	83	24	25	207	154	10	12	746	1140	1248	1101	129	112	10	0	8	6	16	20	17	14	27	17
NS30_000035	0	0	3	0	4	1	3	3	3	6	11	12	0	15	43	12	0	15	35	40	18	0	35	53	2	5	5	4	9	10	12	17	12	18	26	10	28	17	10	14	7	11	19	10	10	15	24	20	36	49	16	25	38	21	9	14	21	6	43	27	27	8	4	0	0	3	17	17	8	13	8	6
NS30_000036	5285	664	10329	4834	755	194	72	113	1062	1135	493	2935	2280	1892	1119	1662	2819	3499	5114	8353	1395	2721	4894	6359	3177	5051	231	966	2016	2846	681	3026	3707	5164	2347	2393	9178	4283	276	273	118	124	5296	4076	2412	2235	618	519	1716	2195	6518	6241	6190	6122	11847	11779	4845	6662	1760	1383	5512	1496	12	6	12	5	10	11	29	32	28	85
NS30_000037	897	70	66	31	698	256	817	816	586	629	113	692	83	133	268	512	136	125	90	84	143	177	1354	1689	109	187	189	569	119	160	3	19	757	1860	1240	1461	3920	1793	800	808	230	233	1380	1143	752	658	4820	4317	180	225	174	186	345	346	3095	3480	158	238	6193	6094	65	33	61	6	26	20	74	92	114	58	313	177
NS30_000038	127	11	91	31	30	10	19	21	977	970	306	1496	566	497	137	247	1540	1498	1973	3368	196	531	154	238	229	385	9	17	238	233	229	877	1145	2354	244	218	69	61	4063	3075	1039	1034	530	778	344	404	26	27	2634	2845	11500	11532	1568	1598	6330	6210	221	315	989	866	3835	1472	8	3	3	1	9	14	10	13	20	30
NS30_000039	62	16	25	21	143	47	134	177	47	40	55	145	57	68	114	185	90	0	140	123	0	117	82	133	28	56	69	128	137	237	39	71	232	329	158	143	737	367	158	122	149	133	271	389	360	362	309	257	132	157	289	281	272	293	52	64	125	181	155	128	74	35	176	35	117	50	268	287	241	240	424	491
NS30_000040	61	29	16	16	38	15	312	346	37	26	34	167	142	103	104	94	137	160	149	138	43	405	199	197	94	161	15	22	38	106	43	78	116	98	155	116	184	74	104	94	61	72	218	234	104	94	113	108	116	135	362	402	157	147	126	121	7474	10510	94	122	70	31	29	2	51	44	85	87	91	120	122	138
NS30_000041	15	2	19	0	13	7	30	24	26	13	22	133	56	159	84	78	149	167	101	70	106	141	49	82	26	79	12	14	39	70	19	45	50	104	173	161	133	69	82	67	54	57	107	226	68	117	99	74	363	400	91	106	237	182	78	115	39	32	78	73	44	28	25	6	34	23	72	64	24	72	73	65
NS30_000042	219	43	3	6	22	4	104	134	7	6	7	23	668	614	28	29	3	31	15	28	68	0	1012	1115	2	4	2	16	3	5	9	0	153	242	28	10	20	20	8	18	56	60	217	280	4	9	21	12	44	47	91	102	36	24	45	49	255	301	42	47	26	3	6	0	12	8	20	10	13	23	14	18
NS30_000043	2	1	0	0	6	0	66	58	0	0	2	52	43	38	28	45	24	31	25	16	52	167	41	75	4	5	2	1	1	18	0	0	5	25	32	29	68	40	8	17	243	213	52	105	46	44	34	28	142	190	90	124	59	74	21	36	161	249	17	22	52	20	5	0	8	3	6	1	9	7	17	0
